Song Name,Movie,Category,Song Link
Nee Choopula,Mirchi,Depressed,https://www.youtube.com/watch?v=4MyRzMmvXWA
Gundelni Pindedhi,Devadasu,Depressed,https://www.youtube.com/watch?v=mb9FF-1WH_I
Po Ve Po,3,Depressed,https://www.youtube.com/watch?v=rjA_q9Ma_9U
Osari preminchaka,Aandrudu,Depressed,https://www.youtube.com/watch?v=xBQFw8Uf4oM
Nee Kosame,Nuvvu Nenu,Depressed,https://www.youtube.com/watch?v=BdeSac_c1PE
Atu Nuvve,Current,Depressed,https://www.youtube.com/watch?v=DBTOvHKRgZ4
Praanam Kanna,Love Reddy,Depressed,https://www.youtube.com/watch?v=JSe58fxElGE
Chinnanati Chelikade,Yagnam,Surprise,https://www.youtube.com/watch?v=MSUDv_2B0aU
Pranamam,Jaanu,Surprise,https://www.youtube.com/watch?v=DiA9eIV428I
Oke oka Lokam,Sashi,Surprise,https://www.youtube.com/watch?v=_PtH3QraTz0
Aww tuzo mogh Kortha,1-Nenokkadine,Surprise,https://www.youtube.com/watch?v=E6g6VVX5in0
Rangamma,Rangasthalam,Surprise,https://www.youtube.com/watch?v=GWWHI7SE0KQ
Top lesipoddi,Iddarammayilatho,Surprise,https://www.youtube.com/watch?v=YAscOYMTgTs
Ammadu lets do kummudu,Khadi no 150,Surprise,https://www.youtube.com/watch?v=JTIaespV8Ic
Dethadi Dethadi,Dookudhu,Surprise,https://www.youtube.com/watch?v=qL9JmbRZiGI
Bale Bale,Bhale Bhale Magadivoy,Surprise,https://www.youtube.com/watch?v=CKE1Ytnyjrg
Cinema Choopistha mama,Race Gurram,Surprise,https://www.youtube.com/watch?v=H7EAJW8jYzA
Gudilo Badilo Madilo Vadilo,DJ,Surprise,https://www.youtube.com/watch?v=d4UswR0Qt5Y
Ye Chota Nuvvuna,Jhonny,Surprise,https://www.youtube.com/watch?v=bKf7JpxfPDI
Saaho Re Baahubali,Baahubali 2,Surprise,https://www.youtube.com/watch?v=Md1Q-PSM60I
Nuvvante Nakistam,Devadasu,Surprise,https://www.youtube.com/watch?v=X-tNDW9p6io
Tingarabuchi,Bichagadu,Surprise,https://www.youtube.com/watch?v=e3JzF20TLtE
Pandagala ,Mirchi,Surprise,https://www.youtube.com/watch?v=C153lEabO5k
 Yahoon Yahoon,Mirchi,Surprise,https://www.youtube.com/watch?v=bqbWbSJpkfI
